job_id,skill
226,Airflow
226,Hadoop
226,Python
226,Spark
227,AWS
227,Hadoop
227,Java
227,NoSQL
227,SQL
227,Spark
228,AWS
228,Docker
228,ETL
228,Hadoop
228,Java
228,Python
228,R
228,SQL
228,Scala
228,Spark
229,BigQuery
229,Data Modeling
229,Data Warehouse
229,ETL
229,GCP
229,Java
229,Python
229,Redshift
229,SQL
229,Snowflake
229,dbt
230,ETL
230,Java
230,Linux
230,Python
230,R
230,Scala
231,Machine Learning
231,Power BI
231,Python
231,SQL
232,Airflow
232,BigQuery
232,Data Warehouse
232,ELT
232,ETL
232,GCP
232,Hadoop
232,Hive
232,Java
232,Machine Learning
232,NoSQL
232,Python
232,Scala
232,Snowflake
232,Spark
233,AWS
233,ETL
233,Linux
233,MySQL
233,Redshift
233,Tableau
234,AWS
234,Python
234,R
236,AWS
236,Linux
236,Oracle
236,Python
236,Redshift
236,Tableau
237,AWS
237,GCP
237,Git
237,Linux
237,Machine Learning
237,Python
237,R
237,SQL
238,Data Modeling
238,Data Warehouse
238,Python
238,SQL
239,AWS
239,Docker
239,Java
239,NoSQL
239,Oracle
239,PostgreSQL
240,Machine Learning
241,AWS
241,BigQuery
241,Data Lake
241,Data Modeling
241,ETL
241,Oracle
241,Redshift
241,SQL
241,Snowflake
242,Looker
242,Python
242,R
242,SQL
242,Tableau
243,Machine Learning
243,Python
244,AWS
244,Airflow
244,Data Warehouse
244,Docker
244,ETL
244,PostgreSQL
244,Python
244,Redshift
245,AWS
245,Hadoop
245,Python
245,SQL
245,Spark
246,AWS
246,Hadoop
246,Java
246,Machine Learning
246,Python
246,Spark
247,AWS
247,Airflow
247,ETL
247,Hadoop
247,Java
247,Python
247,SQL
247,Scala
247,Spark
248,Azure
248,Data Modeling
248,ETL
248,Java
248,Kafka
248,MySQL
248,Oracle
248,Python
248,SQL
248,Scala
248,Spark
249,Airflow
249,NoSQL
249,Python
249,Redshift
249,SQL
249,Snowflake
250,AWS
250,Hadoop
250,Machine Learning
250,Python
250,SQL
250,Spark
251,Data Lake
251,Data Modeling
251,ETL
251,Looker
251,Python
251,Redshift
251,SQL
251,Snowflake
251,Spark
251,Tableau
252,AWS
252,Java
252,Linux
252,NoSQL
252,SQL
253,AWS
253,Data Warehouse
253,Linux
253,Redshift
253,SQL
253,Spark
254,AWS
254,Airflow
254,Docker
254,Hadoop
254,Hive
254,Java
254,Kafka
254,Kubernetes
254,Linux
254,Machine Learning
254,MongoDB
254,NoSQL
254,Python
254,SQL
254,Scala
254,Spark
255,AWS
255,ETL
255,Hadoop
255,Java
255,Looker
255,Python
255,Redshift
255,Spark
255,Tableau
256,Hadoop
256,Java
256,Linux
256,MongoDB
256,Python
256,R
256,Scala
256,Spark
257,AWS
257,Airflow
257,Data Modeling
257,Data Warehouse
257,Hadoop
257,Java
257,Linux
257,Machine Learning
257,MongoDB
257,NoSQL
257,Python
257,Redshift
257,SQL
257,Scala
257,Spark
258,AWS
258,Airflow
258,ELT
258,ETL
258,Git
258,Hadoop
258,Java
258,Kafka
258,NoSQL
258,Python
258,SQL
258,Scala
258,Snowflake
258,Spark
258,Tableau
259,AWS
259,ETL
259,Python
259,Redshift
259,SQL
259,Spark
260,AWS
260,Linux
260,Oracle
260,Python
260,Redshift
260,Tableau
261,AWS
261,Data Warehouse
261,ETL
261,Hadoop
261,Hive
261,Python
261,Redshift
261,SQL
261,Scala
261,Snowflake
261,Spark
262,AWS
262,Hadoop
262,Hive
262,Java
262,Kafka
262,MySQL
262,NoSQL
262,Python
262,SQL
262,Scala
262,Spark
263,Airflow
